call,http,time_s,json_valid,fields_str,error
1,200,14.77,True,True,
2,200,9.66,True,True,
3,200,8.73,True,True,
4,200,8.55,True,True,
5,200,8.41,True,True,
6,200,7.25,True,True,
7,200,10.26,True,True,
8,200,8.02,True,True,
9,200,11.49,True,True,
10,200,9.43,True,True,
11,200,9.11,True,True,
12,200,10.19,True,True,
13,200,9.38,True,True,
14,200,9.7,True,True,
15,200,8.8,True,True,
16,200,8.08,True,True,
17,200,9.07,True,True,
18,200,12.48,True,True,
19,200,8.01,True,True,
20,200,10.45,True,True,
